fecha_fijacion;index;serie;valor
01-10-1982;NO;DÓLAR;60
01-10-1982;NO;Factor de actualización;21,2363
01-10-1982;NO;PNE SEN-SIC;1,78
01-10-1982;NO;PNP SEN-SIC;353,5
01-10-1982;NO;UF;1297,13
01-11-1982;SI;DÓLAR;68
01-11-1982;SI;Factor de actualización;20,4175
01-11-1982;SI;PNE SEN-SIC;2,003
01-11-1982;SI;PNP SEN-SIC;397,8
01-11-1982;SI;UF;1349,15
01-04-1983;NO;DÓLAR;73,28
01-04-1983;NO;Factor de actualización;18,0715
01-04-1983;NO;PNE SEN-SIC;1,886
01-04-1983;NO;PNP SEN-SIC;424,1
01-04-1983;NO;UF;1524,29
01-10-1983;NO;DÓLAR;82,29
01-10-1983;NO;Factor de actualización;15,8895
01-10-1983;NO;PNE SEN-SIC;2,106
01-10-1983;NO;PNP SEN-SIC;463,9
01-10-1983;NO;UF;1733,61
01-04-1984;NO;DÓLAR;88,18
01-04-1984;NO;Factor de actualización;14,9626
01-04-1984;NO;PNE SEN-SIC;2,1
01-04-1984;NO;PNP SEN-SIC;518,6
01-04-1984;NO;UF;1841
01-10-1984;NO;DÓLAR;115,05
01-10-1984;NO;Factor de actualización;13,8822
01-10-1984;NO;PNE AYSEN;5,591
01-10-1984;NO;PNE PARENAS;3,655
01-10-1984;NO;PNE PNATALES;4,143
01-10-1984;NO;PNE PORVENIR;4,228
01-10-1984;NO;PNE SEN-SIC;2,61
01-10-1984;NO;PNE SEN-SING Antof.;10,594
01-10-1984;NO;PNP AYSEN;1035,8
01-10-1984;NO;PNP PARENAS;684
01-10-1984;NO;PNP PNATALES;1035,8
01-10-1984;NO;PNP PORVENIR;1035,8
01-10-1984;NO;PNP SEN-SIC;618,6
01-10-1984;NO;PNP SEN-SING Antof.;1035,8
01-10-1984;NO;UF;1984,29
01-04-1985;NO;DÓLAR;146,69
01-04-1985;NO;Factor de actualización;11,6103
01-04-1985;NO;PNE AYSEN;5,953
01-04-1985;NO;PNE PARENAS;3,68
01-04-1985;NO;PNE PNATALES;5,068
01-04-1985;NO;PNE PORVENIR;5,006
01-04-1985;NO;PNE SEN-SIC;3,054
01-04-1985;NO;PNE SEN-SING Antof.;13,577
01-04-1985;NO;PNP AYSEN;1370,6
01-04-1985;NO;PNP PARENAS;693,2
01-04-1985;NO;PNP PNATALES;1234,2
01-04-1985;NO;PNP PORVENIR;1234,2
01-04-1985;NO;PNP SEN-SIC;704,3
01-04-1985;NO;PNP SEN-SING Antof.;1234,2
01-04-1985;NO;UF;2372,56
01-10-1985;NO;DÓLAR;175,27
01-10-1985;NO;Factor de actualización;10,1804
01-10-1985;NO;PNE AYSEN;6,27
01-10-1985;NO;PNE PARENAS;3,83
01-10-1985;NO;PNE PNATALES;5,44
01-10-1985;NO;PNE PORVENIR;6,2
01-10-1985;NO;PNE SEN-SIC;3,471
01-10-1985;NO;PNE SEN-SING Antof.;13,86
01-10-1985;NO;PNP AYSEN;1388,9
01-10-1985;NO;PNP PARENAS;836,1
01-10-1985;NO;PNP PNATALES;1290
01-10-1985;NO;PNP PORVENIR;1290
01-10-1985;NO;PNP SEN-SIC;757,2
01-10-1985;NO;PNP SEN-SING Antof.;1277,8
01-10-1985;NO;UF;2705,8
01-04-1986;NO;DÓLAR;186,39
01-04-1986;NO;Factor de actualización;9,2922
01-04-1986;NO;PNE AYSEN;6,23
01-04-1986;NO;PNE PARENAS;3,62
01-04-1986;NO;PNE PNATALES;4,9
01-04-1986;NO;PNE PORVENIR;5,8
01-04-1986;NO;PNE SEN-SIC;3,96
01-04-1986;NO;PNE SEN-SING Antof.;11,4
01-04-1986;NO;PNP AYSEN;1445,7
01-04-1986;NO;PNP PARENAS;901,4
01-04-1986;NO;PNP PNATALES;1338,1
01-04-1986;NO;PNP PORVENIR;1338,1
01-04-1986;NO;PNP SEN-SIC;767,6
01-04-1986;NO;PNP SEN-SING Antof.;1330,1
01-04-1986;NO;UF;2964,45
01-10-1986;NO;DÓLAR;195,04
01-10-1986;NO;Factor de actualización;8,7037
01-10-1986;NO;PNE AYSEN;5,59
01-10-1986;NO;PNE PARENAS;3,44
01-10-1986;NO;PNE PNATALES;4,51
01-10-1986;NO;PNE PORVENIR;5,5
01-10-1986;NO;PNE SEN-SIC;4,008
01-10-1986;NO;PNE SEN-SING Antof.;9,77
01-10-1986;NO;PNP AYSEN;1518
01-10-1986;NO;PNP PARENAS;956,1
01-10-1986;NO;PNP PNATALES;1405,4
01-10-1986;NO;PNP PORVENIR;1405,4
01-10-1986;NO;PNP SEN-SIC;768,7
01-10-1986;NO;PNP SEN-SING Antof.;1396,6
01-10-1986;NO;UF;3164,87
01-04-1987;NO;DÓLAR;210,05
01-04-1987;NO;Factor de actualización;7,9377
01-04-1987;NO;PNE AYSEN;6,17
01-04-1987;NO;PNE PARENAS;3,64
01-04-1987;NO;PNE PNATALES;5,3
01-04-1987;NO;PNE PORVENIR;5,69
01-04-1987;NO;PNE SEN-SIC;4,55
01-04-1987;NO;PNE SEN-SING Antof.;11,84
01-04-1987;NO;PNP AYSEN;1684,5
01-04-1987;NO;PNP PARENAS;1035,5
01-04-1987;NO;PNP PNATALES;1563,2
01-04-1987;NO;PNP PORVENIR;1563,2
01-04-1987;NO;PNP SEN-SIC;831,4
01-04-1987;NO;PNP SEN-SING Antof.;1549,7
01-04-1987;NO;UF;3470,3
01-10-1987;NO;DÓLAR;225,35
01-10-1987;NO;Factor de actualización;7,2333
01-10-1987;NO;PNE AYSEN;7,51
01-10-1987;NO;PNE PARENAS;4
01-10-1987;NO;PNE PNATALES;6,14
01-10-1987;NO;PNE PORVENIR;6,25
01-10-1987;NO;PNE SEN-SIC;5,489
01-10-1987;NO;PNE SEN-SING Antof.;13,2
01-10-1987;NO;PNP AYSEN;1807,2
01-10-1987;NO;PNP PARENAS;1124,8
01-10-1987;NO;PNP PNATALES;1677
01-10-1987;NO;PNP PORVENIR;1677
01-10-1987;NO;PNP SEN-SIC;911,7
01-10-1987;NO;PNP SEN-SING Antof.;1034,8
01-10-1987;NO;UF;3808,27
01-04-1988;NO;DÓLAR;244,57
01-04-1988;NO;Factor de actualización;6,6883
01-04-1988;NO;PNE AYSEN;10,06
01-04-1988;NO;PNE PARENAS;4,34
01-04-1988;NO;PNE PNATALES;6,53
01-04-1988;NO;PNE PORVENIR;6,59
01-04-1988;NO;PNE SEN-SIC;6,497
01-04-1988;NO;PNE SEN-SING Antof.;12,87
01-04-1988;NO;PNP AYSEN;1903,5
01-04-1988;NO;PNP PARENAS;1221,4
01-04-1988;NO;PNP PNATALES;1832,9
01-04-1988;NO;PNP PORVENIR;1832,9
01-04-1988;NO;PNP SEN-SIC;919,5
01-04-1988;NO;PNP SEN-SING Antof.;1123,7
01-04-1988;NO;UF;4118,59
01-10-1988;NO;DÓLAR;246,39
01-10-1988;NO;Factor de actualización;6,3908
01-10-1988;NO;PNE AYSEN;12,42
01-10-1988;NO;PNE PARENAS;4,51
01-10-1988;NO;PNE PNATALES;6,88
01-10-1988;NO;PNE PORVENIR;6,72
01-10-1988;NO;PNE SEN-SIC;7,216
01-10-1988;NO;PNE SEN-SING Antof.;13,74
01-10-1988;NO;PNP AYSEN;1940,4
01-10-1988;NO;PNP PARENAS;1284,2
01-10-1988;NO;PNP PNATALES;1869,3
01-10-1988;NO;PNP PORVENIR;1869,3
01-10-1988;NO;PNP SEN-SIC;944,8
01-10-1988;NO;PNP SEN-SING Antof.;1181,5
01-10-1988;NO;UF;4310,29
01-04-1989;NO;DÓLAR;252,29
01-04-1989;NO;Factor de actualización;5,9259
01-04-1989;NO;PNE AYSEN;12,77
01-04-1989;NO;PNE PARENAS;4,65
01-04-1989;NO;PNE PNATALES;6,79
01-04-1989;NO;PNE PORVENIR;7,05
01-04-1989;NO;PNE SEN-SIC;8,128
01-04-1989;NO;PNE SEN-SING Antof.;14,65
01-04-1989;NO;PNP AYSEN;1993,4
01-04-1989;NO;PNP PARENAS;1314,9
01-04-1989;NO;PNP PNATALES;1920,6
01-04-1989;NO;PNP PORVENIR;1920,6
01-04-1989;NO;PNP SEN-SIC;976,033
01-04-1989;NO;PNP SEN-SING Antof.;1201,5
01-04-1989;NO;UF;4648,47
01-10-1989;NO;DÓLAR;267,67
01-10-1989;NO;Factor de actualización;5,4077
01-10-1989;NO;PNE AYSEN;16,31
01-10-1989;NO;PNE PARENAS;5,49
01-10-1989;NO;PNE PNATALES;7,6
01-10-1989;NO;PNE PORVENIR;7,53
01-10-1989;NO;PNE SEN-SIC;8,86
01-10-1989;NO;PNE SEN-SING Antof.;17,13
01-10-1989;NO;PNP AYSEN;2133,5
01-10-1989;NO;PNP PARENAS;1527,9
01-10-1989;NO;PNP PNATALES;2055,9
01-10-1989;NO;PNP PORVENIR;2055,9
01-10-1989;NO;PNP SEN-SIC;1197,3
01-10-1989;NO;PNP SEN-SING Antof.;1405,6
01-10-1989;NO;UF;5093,92
01-04-1990;NO;DÓLAR;295,47
01-04-1990;NO;Factor de actualización;4,8115
01-04-1990;NO;PNE AYSEN;20,62
01-04-1990;NO;PNE PARENAS;6,4
01-04-1990;NO;PNE PNATALES;9,2
01-04-1990;NO;PNE PORVENIR;8,58
01-04-1990;NO;PNE SEN-SIC;10,377
01-04-1990;NO;PNE SEN-SING Antof.;20,9
01-04-1990;NO;PNP AYSEN;2392
01-04-1990;NO;PNP PARENAS;1712,2
01-04-1990;NO;PNP PNATALES;2305,5
01-04-1990;NO;PNP PORVENIR;2305,5
01-04-1990;NO;PNP SEN-SIC;1429,9
01-04-1990;NO;PNP SEN-SING Antof.;1575,2
01-04-1990;NO;UF;5725,11
01-10-1990;NO;DÓLAR;323,9
01-10-1990;NO;Factor de actualización;4,3112
01-10-1990;NO;PNE AYSEN;25,85
01-10-1990;NO;PNE PARENAS;7,38
01-10-1990;NO;PNE PNATALES;11,15
01-10-1990;NO;PNE PORVENIR;9,71
01-10-1990;NO;PNE SEN-SIC;9,655
01-10-1990;NO;PNE SEN-SING Antof.;25,45
01-10-1990;NO;PNP AYSEN;2650,2
01-10-1990;NO;PNP PARENAS;1896
01-10-1990;NO;PNP PNATALES;2552
01-10-1990;NO;PNP PORVENIR;2552
01-10-1990;NO;PNP SEN-SIC;1666,5
01-10-1990;NO;PNP SEN-SING Antof.;1744,3
01-10-1990;NO;UF;6389,51
01-04-1991;NO;DÓLAR;356,12
01-04-1991;NO;Factor de actualización;3,8632
01-04-1991;NO;PNE AYSEN;26,84
01-04-1991;NO;PNE PARENAS;8,41
01-04-1991;NO;PNE PNATALES;10,62
01-04-1991;NO;PNE PORVENIR;10,69
01-04-1991;NO;PNE SEN-SIC;10,655
01-04-1991;NO;PNE SEN-SING Antof.;24,64
01-04-1991;NO;PNE SEN-SING Cruc.;22,41
01-04-1991;NO;PNP AYSEN;2982,5
01-04-1991;NO;PNP PARENAS;2130
01-04-1991;NO;PNP PNATALES;2874,6
01-04-1991;NO;PNP PORVENIR;2874,6
01-04-1991;NO;PNP SEN-SIC;1839,7
01-04-1991;NO;PNP SEN-SING Antof.;1959,6
01-04-1991;NO;PNP SEN-SING Cruc.;1959,6
01-04-1991;NO;UF;7130,5
01-10-1991;NO;DÓLAR;376
01-10-1991;NO;Factor de actualización;3,4998
01-10-1991;NO;PNE AYSEN;23,38
01-10-1991;NO;PNE PARENAS;8,658
01-10-1991;NO;PNE PNATALES;9,688
01-10-1991;NO;PNE PORVENIR;10,841
01-10-1991;NO;PNE SEN-SIC;9,828
01-10-1991;NO;PNE SEN-SING Antof.;24,328
01-10-1991;NO;PNE SEN-SING Cruc.;22,526
01-10-1991;NO;PNP AYSEN;3121,9
01-10-1991;NO;PNP PARENAS;2288
01-10-1991;NO;PNP PNATALES;3089,2
01-10-1991;NO;PNP PORVENIR;3089,2
01-10-1991;NO;PNP SEN-SIC;1979,9
01-10-1991;NO;PNP SEN-SING Antof.;2044,7
01-10-1991;NO;PNP SEN-SING Cruc.;2044,7
01-10-1991;NO;UF;7870,82
01-04-1992;NO;DÓLAR;379,03
01-04-1992;NO;Factor de actualización;3,2546
01-04-1992;NO;PNE AYSEN;23,258
01-04-1992;NO;PNE PARENAS;9,715
01-04-1992;NO;PNE PNATALES;9,894
01-04-1992;NO;PNE PORVENIR;11,697
01-04-1992;NO;PNE SEN-SIC;9,908
01-04-1992;NO;PNE SEN-SING Antof.;23,244
01-04-1992;NO;PNE SEN-SING Cruc.;21,522
01-04-1992;NO;PNP AYSEN;3277,9
01-04-1992;NO;PNP PARENAS;2399,3
01-04-1992;NO;PNP PNATALES;3245,5
01-04-1992;NO;PNP PORVENIR;3245,5
01-04-1992;NO;PNP SEN-SIC;1961,1
01-04-1992;NO;PNP SEN-SING Antof.;2352,2
01-04-1992;NO;PNP SEN-SING Cruc.;2352,2
01-04-1992;NO;UF;8463,81
01-10-1992;NO;DÓLAR;385,58
01-10-1992;NO;Factor de actualización;3,0751
01-10-1992;NO;PNE AYSEN;25,116
01-10-1992;NO;PNE PARENAS;10,472
01-10-1992;NO;PNE PNATALES;10,014
01-10-1992;NO;PNE PORVENIR;12,342
01-10-1992;NO;PNE SEN-SIC;11,074
01-10-1992;NO;PNE SEN-SING Antof.;21,608
01-10-1992;NO;PNE SEN-SING Cruc.;19,749
01-10-1992;NO;PNP AYSEN;3058
01-10-1992;NO;PNP PARENAS;2941,6
01-10-1992;NO;PNP PNATALES;2941,6
01-10-1992;NO;PNP PORVENIR;2941,6
01-10-1992;NO;PNP SEN-SIC;1798
01-10-1992;NO;PNP SEN-SING Antof.;2207,2
01-10-1992;NO;PNP SEN-SING Cruc.;2207,2
01-10-1992;NO;UF;8957,88
01-04-1993;NO;DÓLAR;417,6
01-04-1993;NO;Factor de actualización;2,8944
01-04-1993;NO;PNE AYSEN;24,693
01-04-1993;NO;PNE PARENAS;11,956
01-04-1993;NO;PNE PNATALES;11,016
01-04-1993;NO;PNE PORVENIR;12,724
01-04-1993;NO;PNE SEN-SIC;12,71
01-04-1993;NO;PNE SEN-SING Antof.;25,481
01-04-1993;NO;PNE SEN-SING Cruc.;23,29
01-04-1993;NO;PNP AYSEN;3321
01-04-1993;NO;PNP PARENAS;3194,6
01-04-1993;NO;PNP PNATALES;3194,6
01-04-1993;NO;PNP PORVENIR;3194,6
01-04-1993;NO;PNP SEN-SIC;2046,8
01-04-1993;NO;PNP SEN-SING Antof.;2468
01-04-1993;NO;PNP SEN-SING Cruc.;2468
01-04-1993;NO;UF;9516,99
01-10-1993;NO;DÓLAR;432,85
01-10-1993;NO;Factor de actualización;2,7111
01-10-1993;NO;PNE AYSEN;23,192
01-10-1993;NO;PNE PARENAS;15,773
01-10-1993;NO;PNE PNATALES;11,722
01-10-1993;NO;PNE PORVENIR;13,137
01-10-1993;NO;PNE SEN-SIC;13,414
01-10-1993;NO;PNE SEN-SING Antof.;24,849
01-10-1993;NO;PNE SEN-SING Cruc.;22,712
01-10-1993;NO;PNP AYSEN;3505
01-10-1993;NO;PNP PARENAS;3374,1
01-10-1993;NO;PNP PNATALES;3374,1
01-10-1993;NO;PNP PORVENIR;3374,1
01-10-1993;NO;PNP SEN-SIC;2489,3
01-10-1993;NO;PNP SEN-SING Antof.;2606,2
01-10-1993;NO;PNP SEN-SING Cruc.;2606,2
01-10-1993;NO;UF;10160,4
01-04-1994;NO;DÓLAR;455,21
01-04-1994;NO;Factor de actualización;2,556
01-04-1994;NO;PNE AYSEN;24,9
01-04-1994;NO;PNE PARENAS;16,583
01-04-1994;NO;PNE PNATALES;12,596
01-04-1994;NO;PNE PORVENIR;14,189
01-04-1994;NO;PNE SEN-SIC;14,112
01-04-1994;NO;PNE SEN-SING Antof.;26,396
01-04-1994;NO;PNE SEN-SING Cruc.;24,126
01-04-1994;NO;PNP AYSEN;3745,8
01-04-1994;NO;PNP PARENAS;3608,1
01-04-1994;NO;PNP PNATALES;3608,1
01-04-1994;NO;PNP PORVENIR;3608,1
01-04-1994;NO;PNP SEN-SIC;2655,7
01-04-1994;NO;PNP SEN-SING Antof.;2780,9
01-04-1994;NO;PNP SEN-SING Cruc.;2780,9
01-04-1994;NO;UF;10776,89
01-10-1994;NO;DÓLAR;414,87
01-10-1994;NO;Factor de actualización;2,433
01-10-1994;NO;PNE AYSEN;23,544
01-10-1994;NO;PNE PARENAS;17,233
01-10-1994;NO;PNE PNATALES;13,252
01-10-1994;NO;PNE PORVENIR;13,989
01-10-1994;NO;PNE SEN-SIC;15,309
01-10-1994;NO;PNE SEN-SING Antof.;25,228
01-10-1994;NO;PNE SEN-SING Cruc.;23,058
01-10-1994;NO;PNP AYSEN;3529,6
01-10-1994;NO;PNP PARENAS;3529,6
01-10-1994;NO;PNP PNATALES;3529,6
01-10-1994;NO;PNP PORVENIR;3529,6
01-10-1994;NO;PNP SEN-SIC;2510,7
01-10-1994;NO;PNP SEN-SING Antof.;2723,6
01-10-1994;NO;PNP SEN-SING Cruc.;2723,6
01-10-1994;NO;UF;11321,8
01-04-1995;NO;DÓLAR;410,46
01-04-1995;NO;Factor de actualización;2,3546
01-04-1995;NO;PNE AYSEN;23,388
01-04-1995;NO;PNE PARENAS;17,197
01-04-1995;NO;PNE PNATALES;13,323
01-04-1995;NO;PNE PORVENIR;13,899
01-04-1995;NO;PNE SEN-SIC;15,556
01-04-1995;NO;PNE SEN-SING Antof.;21,272
01-04-1995;NO;PNE SEN-SING Cruc.;19,442
01-04-1995;NO;PNP AYSEN;3690,5
01-04-1995;NO;PNP PARENAS;3600,8
01-04-1995;NO;PNP PNATALES;3600,8
01-04-1995;NO;PNP PORVENIR;3600,8
01-04-1995;NO;PNP SEN-SIC;2565,9
01-04-1995;NO;PNP SEN-SING Antof.;2900,9
01-04-1995;NO;PNP SEN-SING Cruc.;2900,9
01-04-1995;NO;UF;11698,75
01-10-1995;NO;DÓLAR;394,56
01-10-1995;NO;Factor de actualización;2,25
01-10-1995;NO;PNE AYSEN;24,546
01-10-1995;NO;PNE PARENAS;16,913
01-10-1995;NO;PNE PNATALES;13,532
01-10-1995;NO;PNE PORVENIR;13,704
01-10-1995;NO;PNE SEN-SIC;14,528
01-10-1995;NO;PNE SEN-SING Antof.;18,239
01-10-1995;NO;PNE SEN-SING Cruc.;16,671
01-10-1995;NO;PNP AYSEN;3650,8
01-10-1995;NO;PNP PARENAS;3562,9
01-10-1995;NO;PNP PNATALES;3562,9
01-10-1995;NO;PNP PORVENIR;3562,9
01-10-1995;NO;PNP SEN-SIC;2526,6
01-10-1995;NO;PNP SEN-SING Antof.;3124,8
01-10-1995;NO;PNP SEN-SING Cruc.;3124,8
01-10-1995;NO;UF;12242,71
01-04-1996;NO;DÓLAR;411,55
01-04-1996;NO;Factor de actualización;2,1852
01-04-1996;NO;PNE AYSEN;26,714
01-04-1996;NO;PNE PARENAS;19,219
01-04-1996;NO;PNE PNATALES;15,203
01-04-1996;NO;PNE PORVENIR;15,52
01-04-1996;NO;PNE SEN-SIC;14,762
01-04-1996;NO;PNE SEN-SING Antof.;19,812
01-04-1996;NO;PNE SEN-SING Cruc.;18,108
01-04-1996;NO;PNP AYSEN;3910,1
01-04-1996;NO;PNP PARENAS;3815,1
01-04-1996;NO;PNP PNATALES;3815,1
01-04-1996;NO;PNP PORVENIR;3815,1
01-04-1996;NO;PNP SEN-SIC;2687,65
01-04-1996;NO;PNP SEN-SING Antof.;2917,1645
01-04-1996;NO;PNP SEN-SING Cruc.;2917,1645
01-04-1996;NO;UF;12606
01-10-1996;NO;DÓLAR;411,84
01-10-1996;NO;Factor de actualización;2,1076
01-10-1996;NO;PNE AYSEN;28,491
01-10-1996;NO;PNE PARENAS;19,249
01-10-1996;NO;PNE PNATALES;17,602
01-10-1996;NO;PNE PORVENIR;17,713
01-10-1996;NO;PNE SEN-SIC;12,895
01-10-1996;NO;PNE SEN-SING Antof.;19,7222
01-10-1996;NO;PNE SEN-SING Cruc.;18,026
01-10-1996;NO;PNP AYSEN;3999,8
01-10-1996;NO;PNP PARENAS;3904,2
01-10-1996;NO;PNP PNATALES;3904,2
01-10-1996;NO;PNP PORVENIR;3904,2
01-10-1996;NO;PNP SEN-SIC;2888,6156
01-10-1996;NO;PNP SEN-SING Antof.;2972,1
01-10-1996;NO;PNP SEN-SING Cruc.;2972,1
01-10-1996;NO;UF;13069,71
01-04-1997;NO;DÓLAR;414,05
01-04-1997;NO;Factor de actualización;2,0417
01-04-1997;NO;PNE AYSEN;27,054
01-04-1997;NO;PNE PARENAS;20,181
01-04-1997;NO;PNE PNATALES;18,723
01-04-1997;NO;PNE PORVENIR;18,935
01-04-1997;NO;PNE SEN-SIC;13,697
01-04-1997;NO;PNE SEN-SING Antof.;18,465
01-04-1997;NO;PNE SEN-SING Cruc.;16,877
01-04-1997;NO;PNP AYSEN;4089,6
01-04-1997;NO;PNP PARENAS;3992,6
01-04-1997;NO;PNP PNATALES;3992,6
01-04-1997;NO;PNP PORVENIR;3992,6
01-04-1997;NO;PNP SEN-SIC;2790,16
01-04-1997;NO;PNP SEN-SING Antof.;3026,3
01-04-1997;NO;PNP SEN-SING Cruc.;3026,3
01-04-1997;NO;UF;13491,84
01-10-1997;NO;DÓLAR;414,9
01-10-1997;NO;Factor de actualización;1,9991
01-10-1997;NO;PNE AYSEN;27,043
01-10-1997;NO;PNE PARENAS;21,849
01-10-1997;NO;PNE PNATALES;19,654
01-10-1997;NO;PNE PORVENIR;19,504
01-10-1997;NO;PNE SEN-SIC;11,311
01-10-1997;NO;PNE SEN-SING Antof.;16,668
01-10-1997;NO;PNE SEN-SING Cruc.;15,068
01-10-1997;NO;PNP AYSEN;4091,7
01-10-1997;NO;PNP PARENAS;3995,2
01-10-1997;NO;PNP PNATALES;3995,2
01-10-1997;NO;PNP PORVENIR;4875,2
01-10-1997;NO;PNP SEN-SIC;3111,75
01-10-1997;NO;PNP SEN-SING Antof.;3286,4
01-10-1997;NO;PNP SEN-SING Cruc.;3286,4
01-10-1997;NO;UF;13779,22
01-04-1998;NO;DÓLAR;452,53
01-04-1998;NO;Factor de actualización;1,9394
01-04-1998;NO;PNE AYSEN;27,143
01-04-1998;NO;PNE PARENAS;23,138
01-04-1998;NO;PNE PNATALES;20,458
01-04-1998;NO;PNE PORVENIR;20,18
01-04-1998;NO;PNE SEN-SIC;10,437
01-04-1998;NO;PNE SEN-SING Antof.;15,437
01-04-1998;NO;PNE SEN-SING Cruc.;13,955
01-04-1998;NO;PNP AYSEN;4341,7
01-04-1998;NO;PNP PARENAS;4239,2
01-04-1998;NO;PNP PNATALES;4239,2
01-04-1998;NO;PNP PORVENIR;5175,8
01-04-1998;NO;PNP SEN-SIC;3328,96
01-04-1998;NO;PNP SEN-SING Antof.;4236,5
01-04-1998;NO;PNP SEN-SING Cruc.;4236,5
01-04-1998;NO;UF;14203,84
01-10-1998;NO;DÓLAR;470,5
01-10-1998;NO;Factor de actualización;1,9033
01-10-1998;NO;PNE AYSEN;28,564
01-10-1998;NO;PNE PARENAS;24,73
01-10-1998;NO;PNE PNATALES;21,396
01-10-1998;NO;PNE PORVENIR;20,849
01-10-1998;NO;PNE SEN-SIC;9,987
01-10-1998;NO;PNE SEN-SING Antof.;13,069
01-10-1998;NO;PNE SEN-SING Cruc.;11,814
01-10-1998;NO;PNP AYSEN;4453,3
01-10-1998;NO;PNP PARENAS;4348,21
